image,truth,identity
000017.jpg,False,2577
000065.jpg,False,1218
000163.jpg,False,689
000262.jpg,False,9835
000320.jpg,False,9418
000342.jpg,False,2615
000393.jpg,False,8314
000435.jpg,False,6458
000512.jpg,False,746
000514.jpg,False,4625
000526.jpg,False,9390
000530.jpg,False,5421
000794.jpg,False,4975
001510.jpg,False,2577
001670.jpg,False,8838
001691.jpg,False,19
001750.jpg,False,8969
001968.jpg,False,460
002211.jpg,False,5001
002268.jpg,False,7177
002322.jpg,False,5399
003008.jpg,False,1145
003168.jpg,False,2107
003452.jpg,False,2577
003508.jpg,False,10162
003522.jpg,False,1145
003631.jpg,False,19
003731.jpg,False,10162
003781.jpg,False,5250
003790.jpg,False,3511
003851.jpg,False,3499
004026.jpg,False,7177
004040.jpg,False,689
004068.jpg,False,4625
004070.jpg,False,6025
004224.jpg,False,2615
004319.jpg,False,1339
004504.jpg,False,8274
004760.jpg,False,817
004775.jpg,False,283
004835.jpg,False,5399
005005.jpg,False,9524
005089.jpg,False,460
005367.jpg,False,8497
005390.jpg,False,9661
005408.jpg,False,1339
006089.jpg,False,3575
006091.jpg,False,6101
006109.jpg,False,6458
006134.jpg,False,1145
006233.jpg,False,1677
006425.jpg,False,1134
006496.jpg,False,283
006573.jpg,False,2107
006576.jpg,False,3575
006678.jpg,False,1755
006701.jpg,False,8969
006764.jpg,False,1755
006891.jpg,False,2615
006912.jpg,False,3046
007160.jpg,False,565
007184.jpg,False,6235
007196.jpg,False,9390
007328.jpg,False,9978
007442.jpg,False,7177
007881.jpg,False,8314
007883.jpg,False,4605
008344.jpg,False,565
008440.jpg,False,1145
008676.jpg,False,10162
009314.jpg,False,2577
009512.jpg,False,964
009639.jpg,False,9524
009649.jpg,False,4002
009747.jpg,False,2577
009854.jpg,False,4625
009887.jpg,False,283
010232.jpg,False,817
010365.jpg,False,3147
010441.jpg,False,1145
010620.jpg,False,283
010786.jpg,False,1218
010959.jpg,False,3575
011008.jpg,False,6458
011086.jpg,False,6101
011323.jpg,False,746
011395.jpg,False,8314
011829.jpg,False,4025
012053.jpg,False,3575
012118.jpg,False,764
012298.jpg,False,1339
012437.jpg,False,6458
012450.jpg,False,5001
012535.jpg,False,7177
012568.jpg,False,9524
012686.jpg,False,5250
012929.jpg,False,4975
013003.jpg,False,689
013006.jpg,False,8838
013045.jpg,False,2107
013119.jpg,False,8838
013257.jpg,False,2615
013294.jpg,False,9897
013473.jpg,False,1755
013603.jpg,False,1907
013857.jpg,False,689
013977.jpg,False,3575
014027.jpg,False,5300
014084.jpg,False,4025
014202.jpg,False,3511
014204.jpg,False,4625
014378.jpg,False,565
014442.jpg,False,9661
015085.jpg,False,1218
015235.jpg,False,5399
015525.jpg,False,746
015890.jpg,False,6025
015896.jpg,False,5399
015920.jpg,False,3046
016429.jpg,False,1907
016585.jpg,False,1339
016628.jpg,False,283
016640.jpg,False,5001
016688.jpg,False,3046
016861.jpg,False,3046
016887.jpg,False,2615
016906.jpg,False,9390
016976.jpg,False,98
017101.jpg,False,1755
017133.jpg,False,5001
017145.jpg,False,667
017246.jpg,False,4025
017564.jpg,False,9897
017758.jpg,False,6458
017777.jpg,False,1218
017843.jpg,False,3575
018540.jpg,False,9661
018799.jpg,False,4002
019029.jpg,False,2156
019365.jpg,False,5421
019436.jpg,False,98
019441.jpg,False,8838
019662.jpg,False,283
020015.jpg,False,9390
020062.jpg,False,1755
020213.jpg,False,5001
020514.jpg,False,667
020606.jpg,False,5250
020719.jpg,False,6458
021039.jpg,False,817
021150.jpg,False,964
