video_id,format,channels,sample_width,frame_rate,number_of_frames,duration_seconds,VideoFpath,truth,speaker_id
HoPP5mYWyxY,wav,2,2,16000,654720,40.92,../data/speech/concat_audio_df2/id41102/HoPP5mYWyxY.wav,False,id38620
4DV8YuFjrNk,wav,2,2,16000,140800,8.8,../data/speech/concat_audio_df2/id41102/4DV8YuFjrNk.wav,False,id25408
k5CC_ZzGR-Q,wav,2,2,16000,229120,14.32,../data/speech/concat_audio_df2/id41102/k5CC_ZzGR-Q.wav,False,id35186
P63okDJgrJE,wav,2,2,16000,378240,23.64,../data/speech/concat_audio_df2/id41102/P63okDJgrJE.wav,False,id47667
BqsRCddbzFo,wav,2,2,16000,771200,48.2,../data/speech/concat_audio_df2/id41102/BqsRCddbzFo.wav,False,id08519
xra6u7LF99E,wav,2,2,16000,347648,21.728,../data/speech/concat_audio_df2/id41102/xra6u7LF99E.wav,False,id56874
vp1UMjRSXWs,wav,2,2,16000,347520,21.72,../data/speech/concat_audio_df2/id46173/vp1UMjRSXWs.wav,False,id14026
AEvFdGLF6NM,wav,2,2,16000,475520,29.72,../data/speech/concat_audio_df2/id46173/AEvFdGLF6NM.wav,False,id60730
jXUyw5xdYPk,wav,2,2,16000,284160,17.76,../data/speech/concat_audio_df2/id46173/jXUyw5xdYPk.wav,False,id35186
VgupN6yurSI,wav,2,2,16000,871040,54.44,../data/speech/concat_audio_df2/id46173/VgupN6yurSI.wav,False,id08776
NI4ZU2IUjuc,wav,2,2,16000,577920,36.12,../data/speech/concat_audio_df2/id46173/NI4ZU2IUjuc.wav,False,id02799
aI1WQR_vnWk,wav,2,2,16000,435200,27.2,../data/speech/concat_audio_df2/id46173/aI1WQR_vnWk.wav,False,id35186
_AdAY3EFqGI,wav,2,2,16000,639360,39.96,../data/speech/concat_audio_df2/id46173/_AdAY3EFqGI.wav,False,id04903
eLog59JRkwY,wav,2,2,16000,682880,42.68,../data/speech/concat_audio_df2/id46173/eLog59JRkwY.wav,False,id36494
AUpSqa3KE34,wav,2,2,16000,239360,14.96,../data/speech/concat_audio_df2/id46173/AUpSqa3KE34.wav,False,id31480
rA4jqR6VOsE,wav,2,2,16000,618240,38.64,../data/speech/concat_audio_df2/id46173/rA4jqR6VOsE.wav,False,id08519
r8NznE_6hdU,wav,2,2,16000,790400,49.4,../data/speech/concat_audio_df2/id46173/r8NznE_6hdU.wav,False,id56874
HLRUemSqacQ,wav,2,2,16000,516480,32.28,../data/speech/concat_audio_df2/id46173/HLRUemSqacQ.wav,False,id26192
VmD2hocHdNk,wav,2,2,16000,926720,57.92,../data/speech/concat_audio_df2/id46173/VmD2hocHdNk.wav,False,id31480
p-E5Cu4ZFPA,wav,2,2,16000,500480,31.28,../data/speech/concat_audio_df2/id46173/p-E5Cu4ZFPA.wav,False,id00868
pGtSKM3OBD8,wav,2,2,16000,569600,35.6,../data/speech/concat_audio_df2/id46173/pGtSKM3OBD8.wav,False,id55482
-9iX5tl_PL8,wav,2,2,16000,282880,17.68,../data/speech/concat_audio_df2/id46173/-9iX5tl_PL8.wav,False,id08519
wtuOYGAMeV0,wav,2,2,16000,817280,51.08,../data/speech/concat_audio_df2/id46173/wtuOYGAMeV0.wav,False,id60730
qD9lcYRoBbQ,wav,2,2,16000,472960,29.56,../data/speech/concat_audio_df2/id46173/qD9lcYRoBbQ.wav,False,id26192
MgN8JBpBgTc,wav,2,2,16000,521600,32.6,../data/speech/concat_audio_df2/id46173/MgN8JBpBgTc.wav,False,id02799
W8lNxUQcwos,wav,2,2,16000,373760,23.36,../data/speech/concat_audio_df2/id46173/W8lNxUQcwos.wav,False,id13901
pgfOFiXVanw,wav,2,2,16000,202240,12.64,../data/speech/concat_audio_df2/id46173/pgfOFiXVanw.wav,False,id60730
RyA4IjHxEzU,wav,2,2,16000,876800,54.8,../data/speech/concat_audio_df2/id46173/RyA4IjHxEzU.wav,False,id02799
WuSdtxTIBRw,wav,2,2,16000,761600,47.6,../data/speech/concat_audio_df2/id46173/WuSdtxTIBRw.wav,False,id47667
pyfflyvPAEk,wav,2,2,16000,505600,31.6,../data/speech/concat_audio_df2/id46173/pyfflyvPAEk.wav,False,id35186
Y-tiPKa2kyA,wav,2,2,16000,588800,36.8,../data/speech/concat_audio_df2/id46173/Y-tiPKa2kyA.wav,False,id02799
0BKwIwOA2E8,wav,2,2,16000,255360,15.96,../data/speech/concat_audio_df2/id46173/0BKwIwOA2E8.wav,False,id47667
Xb_Dz101XMk,wav,2,2,16000,247040,15.44,../data/speech/concat_audio_df2/id46173/Xb_Dz101XMk.wav,False,id09427
KUQNADOUhho,wav,2,2,16000,581120,36.32,../data/speech/concat_audio_df2/id46173/KUQNADOUhho.wav,False,id46419
aoVBU0VZGdY,wav,2,2,16000,747520,46.72,../data/speech/concat_audio_df2/id46173/aoVBU0VZGdY.wav,False,id55482
CqWo_tJm9gs,wav,2,2,16000,462080,28.88,../data/speech/concat_audio_df2/id46173/CqWo_tJm9gs.wav,False,id16835
mnXX7K3Up8Q,wav,2,2,16000,634240,39.64,../data/speech/concat_audio_df2/id46173/mnXX7K3Up8Q.wav,False,id57651
-rZqnTZMtuM,wav,2,2,16000,796800,49.8,../data/speech/concat_audio_df2/id46173/-rZqnTZMtuM.wav,False,id35186
L70y3nHhUMU,wav,2,2,16000,275200,17.2,../data/speech/concat_audio_df2/id46173/L70y3nHhUMU.wav,False,id25408
W-xZDRLW2cY,wav,2,2,16000,482560,30.16,../data/speech/concat_audio_df2/id46173/W-xZDRLW2cY.wav,False,id51728
45cg5dCKdAA,wav,2,2,16000,685440,42.84,../data/speech/concat_audio_df2/id46173/45cg5dCKdAA.wav,False,id46419
yPhghCgkAYU,wav,2,2,16000,750720,46.92,../data/speech/concat_audio_df2/id46173/yPhghCgkAYU.wav,False,id31480
SJBT2Q4Qy2Y,wav,2,2,16000,536960,33.56,../data/speech/concat_audio_df2/id46173/SJBT2Q4Qy2Y.wav,False,id08519
uaeypMG2YTc,wav,2,2,16000,852480,53.28,../data/speech/concat_audio_df2/id46173/uaeypMG2YTc.wav,False,id14026
_Mv8h3WQxDM,wav,2,2,16000,702080,43.88,../data/speech/concat_audio_df2/id46173/_Mv8h3WQxDM.wav,False,id25408
A4riCL9lOZo,wav,2,2,16000,341760,21.36,../data/speech/concat_audio_df2/id46173/A4riCL9lOZo.wav,False,id50220
Frx8VeIHhU4,wav,2,2,16000,475520,29.72,../data/speech/concat_audio_df2/id46173/Frx8VeIHhU4.wav,False,id09427
P98K-S1-w10,wav,2,2,16000,796160,49.76,../data/speech/concat_audio_df2/id46173/P98K-S1-w10.wav,False,id13854
okOJ5dsJuag,wav,2,2,16000,894080,55.88,../data/speech/concat_audio_df2/id46173/okOJ5dsJuag.wav,False,id28020
RLnzUJ5vInk,wav,2,2,16000,453120,28.32,../data/speech/concat_audio_df2/id46173/RLnzUJ5vInk.wav,False,id02799
LcJeyERpRqA,wav,2,2,16000,639360,39.96,../data/speech/concat_audio_df2/id46173/LcJeyERpRqA.wav,False,id51728
YAHhfZUjV6M,wav,2,2,16000,940800,58.8,../data/speech/concat_audio_df2/id46173/YAHhfZUjV6M.wav,False,id53453
N2kVTsVNpfc,wav,2,2,16000,521600,32.6,../data/speech/concat_audio_df2/id46173/N2kVTsVNpfc.wav,False,id51728
UlIWiv4BVHw,wav,2,2,16000,517760,32.36,../data/speech/concat_audio_df2/id23204/UlIWiv4BVHw.wav,False,id16835
1Zm9mrlefcw,wav,2,2,16000,383360,23.96,../data/speech/concat_audio_df2/id23204/1Zm9mrlefcw.wav,False,id51728
qdQQ03yzk1I,wav,2,2,16000,862720,53.92,../data/speech/concat_audio_df2/id16025/qdQQ03yzk1I.wav,False,id50220
bxDoeVPubl8,wav,2,2,16000,906880,56.68,../data/speech/concat_audio_df2/id16025/bxDoeVPubl8.wav,False,id46419
u2jKnDjAsI0,wav,2,2,16000,205440,12.84,../data/speech/concat_audio_df2/id16025/u2jKnDjAsI0.wav,False,id09427
TemUgPCDo7Y,wav,2,2,16000,614400,38.4,../data/speech/concat_audio_df2/id16025/TemUgPCDo7Y.wav,False,id60730
tUh-BIlOa8w,wav,2,2,16000,442880,27.68,../data/speech/concat_audio_df2/id16025/tUh-BIlOa8w.wav,False,id42259
Qlz5dLjp7Tk,wav,2,2,16000,874880,54.68,../data/speech/concat_audio_df2/id16025/Qlz5dLjp7Tk.wav,False,id60691
6pkriMc5JcI,wav,2,2,16000,115840,7.24,../data/speech/concat_audio_df2/id16025/6pkriMc5JcI.wav,False,id35186
IIVQsfgumP8,wav,2,2,16000,632320,39.52,../data/speech/concat_audio_df2/id16025/IIVQsfgumP8.wav,False,id36494
5I3zEYQ3UDY,wav,2,2,16000,746240,46.64,../data/speech/concat_audio_df2/id16025/5I3zEYQ3UDY.wav,False,id51728
WYaGsQD2WmU,wav,2,2,16000,583680,36.48,../data/speech/concat_audio_df2/id16025/WYaGsQD2WmU.wav,False,id60730
_B8lWSUe4jA,wav,2,2,16000,17280,1.08,../data/speech/concat_audio_df2/id16025/_B8lWSUe4jA.wav,False,id35186
h95sfA3w4I4,wav,2,2,16000,864640,54.04,../data/speech/concat_audio_df2/id16025/h95sfA3w4I4.wav,False,id06304
hzH4a19uaTo,wav,2,2,16000,293120,18.32,../data/speech/concat_audio_df2/id16025/hzH4a19uaTo.wav,False,id47667
6z7S_HF0fUs,wav,2,2,16000,524800,32.8,../data/speech/concat_audio_df2/id16025/6z7S_HF0fUs.wav,False,id60730
R1lr9nf_kdQ,wav,2,2,16000,502400,31.4,../data/speech/concat_audio_df2/id16025/R1lr9nf_kdQ.wav,False,id07057
tG0WdgBnGLU,wav,2,2,16000,846720,52.92,../data/speech/concat_audio_df2/id16025/tG0WdgBnGLU.wav,False,id08776
lWeaa-_5xog,wav,2,2,16000,494720,30.92,../data/speech/concat_audio_df2/id16025/lWeaa-_5xog.wav,False,id60730
V2ex6QJMtOk,wav,2,2,16000,246400,15.4,../data/speech/concat_audio_df2/id16025/V2ex6QJMtOk.wav,False,id14026
rKyRFoFdLqk,wav,2,2,16000,380800,23.8,../data/speech/concat_audio_df2/id16025/rKyRFoFdLqk.wav,False,id02799
rhyhi1KBmAw,wav,2,2,16000,574720,35.92,../data/speech/concat_audio_df2/id16025/rhyhi1KBmAw.wav,False,id34823
l5W2vfRM3Jc,wav,2,2,16000,393600,24.6,../data/speech/concat_audio_df2/id16025/l5W2vfRM3Jc.wav,False,id01616
837_i2_C21Y,wav,2,2,16000,872960,54.56,../data/speech/concat_audio_df2/id16025/837_i2_C21Y.wav,False,id31480
XpULlnctGf8,wav,2,2,16000,170880,10.68,../data/speech/concat_audio_df2/id16025/XpULlnctGf8.wav,False,id26192
abckwTWpksU,wav,2,2,16000,357120,22.32,../data/speech/concat_audio_df2/id16025/abckwTWpksU.wav,False,id14026
GZiN9KFC864,wav,2,2,16000,209280,13.08,../data/speech/concat_audio_df2/id16025/GZiN9KFC864.wav,False,id60730
adkRhAPqGD0,wav,2,2,16000,515200,32.2,../data/speech/concat_audio_df2/id16025/adkRhAPqGD0.wav,False,id38620
pCB3d5kQbXk,wav,2,2,16000,336640,21.04,../data/speech/concat_audio_df2/id16025/pCB3d5kQbXk.wav,False,id11367
NGNMtv6yC6Q,wav,2,2,16000,573440,35.84,../data/speech/concat_audio_df2/id16025/NGNMtv6yC6Q.wav,False,id56874
nG5iZt4ET2E,wav,2,2,16000,181120,11.32,../data/speech/concat_audio_df2/id16025/nG5iZt4ET2E.wav,False,id50220
wwk2tgcV8do,wav,2,2,16000,813440,50.84,../data/speech/concat_audio_df2/id16025/wwk2tgcV8do.wav,False,id60691
9XQ3qtPRXx0,wav,2,2,16000,837760,52.36,../data/speech/concat_audio_df2/id16025/9XQ3qtPRXx0.wav,False,id02799
MDb8vCa_4k8,wav,2,2,16000,480000,30.0,../data/speech/concat_audio_df2/id16025/MDb8vCa_4k8.wav,False,id14026
XwjgfPgvJq8,wav,2,2,16000,506240,31.64,../data/speech/concat_audio_df2/id16025/XwjgfPgvJq8.wav,False,id60691
67Mwy0Z8AX4,wav,2,2,16000,227200,14.2,../data/speech/concat_audio_df2/id16025/67Mwy0Z8AX4.wav,False,id60730
rUsLOYBSDVc,wav,2,2,16000,657280,41.08,../data/speech/concat_audio_df2/id16025/rUsLOYBSDVc.wav,False,id35186
rP6ifPKzZ4k,wav,2,2,16000,375680,23.48,../data/speech/concat_audio_df2/id16025/rP6ifPKzZ4k.wav,False,id36494
v4-Vk6UucN0,wav,2,2,16000,637440,39.84,../data/speech/concat_audio_df2/id54918/v4-Vk6UucN0.wav,False,id51728
LPcMJ4V5jys,wav,2,2,16000,656640,41.04,../data/speech/concat_audio_df2/id54918/LPcMJ4V5jys.wav,False,id09427
9FC8RHA6KKs,wav,2,2,16000,457600,28.6,../data/speech/concat_audio_df2/id54918/9FC8RHA6KKs.wav,False,id25408
Fr3vnKtwg_E,wav,2,2,16000,540160,33.76,../data/speech/concat_audio_df2/id54918/Fr3vnKtwg_E.wav,False,id36494
0UzF8SuIxVg,wav,2,2,16000,693760,43.36,../data/speech/concat_audio_df2/id54918/0UzF8SuIxVg.wav,False,id51728
jHkjuZsM_40,wav,2,2,16000,764800,47.8,../data/speech/concat_audio_df2/id54918/jHkjuZsM_40.wav,False,id26192
