video_id,format,channels,sample_width,frame_rate,number_of_frames,duration_seconds,VideoFpath,truth,speaker_id
HoPP5mYWyxY,wav,2,2,16000,654720,40.92,../data/speech/concat_audio_df3_per10/id41102/HoPP5mYWyxY.wav,False,id38620
4DV8YuFjrNk,wav,2,2,16000,140800,8.8,../data/speech/concat_audio_df3_per10/id41102/4DV8YuFjrNk.wav,False,id25408
k5CC_ZzGR-Q,wav,2,2,16000,229120,14.32,../data/speech/concat_audio_df3_per10/id41102/k5CC_ZzGR-Q.wav,False,id35186
P63okDJgrJE,wav,2,2,16000,378240,23.64,../data/speech/concat_audio_df3_per10/id41102/P63okDJgrJE.wav,False,id47667
BqsRCddbzFo,wav,2,2,16000,771200,48.2,../data/speech/concat_audio_df3_per10/id41102/BqsRCddbzFo.wav,False,id08519
xra6u7LF99E,wav,2,2,16000,347648,21.728,../data/speech/concat_audio_df3_per10/id41102/xra6u7LF99E.wav,False,id56874
vp1UMjRSXWs,wav,2,2,16000,347520,21.72,../data/speech/concat_audio_df3_per10/id46173/vp1UMjRSXWs.wav,False,id14026
AEvFdGLF6NM,wav,2,2,16000,475520,29.72,../data/speech/concat_audio_df3_per10/id46173/AEvFdGLF6NM.wav,False,id60730
jXUyw5xdYPk,wav,2,2,16000,284160,17.76,../data/speech/concat_audio_df3_per10/id46173/jXUyw5xdYPk.wav,False,id35186
VgupN6yurSI,wav,2,2,16000,871040,54.44,../data/speech/concat_audio_df3_per10/id46173/VgupN6yurSI.wav,False,id08776
NI4ZU2IUjuc,wav,2,2,16000,577920,36.12,../data/speech/concat_audio_df3_per10/id46173/NI4ZU2IUjuc.wav,False,id02799
aI1WQR_vnWk,wav,2,2,16000,435200,27.2,../data/speech/concat_audio_df3_per10/id46173/aI1WQR_vnWk.wav,False,id35186
_AdAY3EFqGI,wav,2,2,16000,639360,39.96,../data/speech/concat_audio_df3_per10/id46173/_AdAY3EFqGI.wav,False,id04903
eLog59JRkwY,wav,2,2,16000,682880,42.68,../data/speech/concat_audio_df3_per10/id46173/eLog59JRkwY.wav,False,id36494
AUpSqa3KE34,wav,2,2,16000,239360,14.96,../data/speech/concat_audio_df3_per10/id46173/AUpSqa3KE34.wav,False,id31480
rA4jqR6VOsE,wav,2,2,16000,618240,38.64,../data/speech/concat_audio_df3_per10/id46173/rA4jqR6VOsE.wav,False,id08519
r8NznE_6hdU,wav,2,2,16000,790400,49.4,../data/speech/concat_audio_df3_per10/id46173/r8NznE_6hdU.wav,False,id56874
HLRUemSqacQ,wav,2,2,16000,516480,32.28,../data/speech/concat_audio_df3_per10/id46173/HLRUemSqacQ.wav,False,id26192
VmD2hocHdNk,wav,2,2,16000,926720,57.92,../data/speech/concat_audio_df3_per10/id46173/VmD2hocHdNk.wav,False,id31480
p-E5Cu4ZFPA,wav,2,2,16000,500480,31.28,../data/speech/concat_audio_df3_per10/id46173/p-E5Cu4ZFPA.wav,False,id00868
pGtSKM3OBD8,wav,2,2,16000,569600,35.6,../data/speech/concat_audio_df3_per10/id46173/pGtSKM3OBD8.wav,False,id55482
-9iX5tl_PL8,wav,2,2,16000,282880,17.68,../data/speech/concat_audio_df3_per10/id46173/-9iX5tl_PL8.wav,False,id08519
wtuOYGAMeV0,wav,2,2,16000,817280,51.08,../data/speech/concat_audio_df3_per10/id46173/wtuOYGAMeV0.wav,False,id60730
qD9lcYRoBbQ,wav,2,2,16000,472960,29.56,../data/speech/concat_audio_df3_per10/id46173/qD9lcYRoBbQ.wav,False,id26192
MgN8JBpBgTc,wav,2,2,16000,521600,32.6,../data/speech/concat_audio_df3_per10/id46173/MgN8JBpBgTc.wav,False,id02799
W8lNxUQcwos,wav,2,2,16000,373760,23.36,../data/speech/concat_audio_df3_per10/id46173/W8lNxUQcwos.wav,False,id13901
pgfOFiXVanw,wav,2,2,16000,202240,12.64,../data/speech/concat_audio_df3_per10/id46173/pgfOFiXVanw.wav,False,id60730
RyA4IjHxEzU,wav,2,2,16000,876800,54.8,../data/speech/concat_audio_df3_per10/id46173/RyA4IjHxEzU.wav,False,id02799
WuSdtxTIBRw,wav,2,2,16000,761600,47.6,../data/speech/concat_audio_df3_per10/id46173/WuSdtxTIBRw.wav,False,id47667
pyfflyvPAEk,wav,2,2,16000,505600,31.6,../data/speech/concat_audio_df3_per10/id46173/pyfflyvPAEk.wav,False,id35186
Y-tiPKa2kyA,wav,2,2,16000,588800,36.8,../data/speech/concat_audio_df3_per10/id46173/Y-tiPKa2kyA.wav,False,id02799
0BKwIwOA2E8,wav,2,2,16000,255360,15.96,../data/speech/concat_audio_df3_per10/id46173/0BKwIwOA2E8.wav,False,id47667
Xb_Dz101XMk,wav,2,2,16000,247040,15.44,../data/speech/concat_audio_df3_per10/id46173/Xb_Dz101XMk.wav,False,id09427
KUQNADOUhho,wav,2,2,16000,581120,36.32,../data/speech/concat_audio_df3_per10/id46173/KUQNADOUhho.wav,False,id46419
aoVBU0VZGdY,wav,2,2,16000,747520,46.72,../data/speech/concat_audio_df3_per10/id46173/aoVBU0VZGdY.wav,False,id55482
CqWo_tJm9gs,wav,2,2,16000,462080,28.88,../data/speech/concat_audio_df3_per10/id46173/CqWo_tJm9gs.wav,False,id16835
mnXX7K3Up8Q,wav,2,2,16000,634240,39.64,../data/speech/concat_audio_df3_per10/id46173/mnXX7K3Up8Q.wav,False,id57651
-rZqnTZMtuM,wav,2,2,16000,796800,49.8,../data/speech/concat_audio_df3_per10/id46173/-rZqnTZMtuM.wav,False,id35186
L70y3nHhUMU,wav,2,2,16000,275200,17.2,../data/speech/concat_audio_df3_per10/id46173/L70y3nHhUMU.wav,False,id25408
W-xZDRLW2cY,wav,2,2,16000,482560,30.16,../data/speech/concat_audio_df3_per10/id46173/W-xZDRLW2cY.wav,False,id51728
45cg5dCKdAA,wav,2,2,16000,685440,42.84,../data/speech/concat_audio_df3_per10/id46173/45cg5dCKdAA.wav,False,id46419
yPhghCgkAYU,wav,2,2,16000,750720,46.92,../data/speech/concat_audio_df3_per10/id46173/yPhghCgkAYU.wav,False,id31480
